,Unnamed: 0,0,polarity,subjectivity
0,0,#scheerLIE #cdnpoli https://t.co/BU46HHYnhM,0.0,0.0
1,1,Dan Rather: #Trump not a descendant of some god 💥 @CNNPolitics https://t.co/ol7iHueaNh,0.0,0.0
2,2,RT @KT_So_It_Goes: remember the horror of bobby kennedy being denied caramelized scallops at an upscale eatery or the firehose of mean twee…,-0.3125,0.6875
3,3,RT @carolecadwalla: Look! This is BIG. Electoral Commission says democracy is ‘under threat’. And ‘urgent’ reform is needed. It knows this…,0.0,0.1
4,4,"RT @Chicago1Ray: DemocRATs call to abolish #ICE 

This has been the gift of @realDonaldTrump Politics in DC has been a set of agreed upon p…",0.0,0.0
5,5,RT @RealJamesWoods: This one gives new meaning to the #WashingtonOpen... https://t.co/Ft2Im3DEcz,0.13636363636363635,0.45454545454545453
6,6,"RT @peterdaou: In two decades of politics, I've gotten every manner of insult and threat. Calls in the middle of the night, emails to my pe…",0.0,0.0
7,7,"RT @YSOUKOMAN: 二階氏、マスコミの対応を批判したらしいが、あれだけ忖度しているのにまだ不満らしい

自民・二階俊博幹事長　森友・加計学園問題「軽く見過ぎていた」と政府に苦言 https://t.co/iJl2FWj2M1 @Sankei_newsさんから",0.0,0.0
8,8,"RT @Xlibris1: Reminder from two years ago - on the wrongness of Boris, the rightness of Gove, (and the ""experts"" who had, indeed, got it wr…",0.0,0.0
9,9,RT @JohnWDean: Trump thinks he has all the answers so he doesn’t listen to anyone. He takes credit for all that works and refuses to take r…,0.0,0.0
10,10,RT @suesmith666: Today is primary day in NYC &amp; it’s important. NY has 5 House seats up for grabs this fall. (There’s even a convicted felon…,0.4,0.75
11,11,Ottawa to legalize outdoor cannabis crops via ⁦@chris_pelle⁩  https://t.co/BT9phcpLyq,0.0,0.0
12,12,"RT @DarthPutinKGB: If you ever think your job is a waste of time, consider that someone works as the Kremlin's ""human rights"" commissioner…",-0.1,0.05
13,13,"RT @AmmarRashidT: Friends, I have been nominated by @AwamiWorkers Party to contest elections from NA-53 in Islamabad. Me &amp; my dear comrade…",0.0,0.0
14,14,RT @AamerAnwar: Pedro Sanchez calls for political solution rather than judicial but until Spain frees all political prisoners &amp; withdraws a…,0.0,0.1
15,15,"RT @FRPC_FRPC: From the UK: ""Facebook creates Orwellian headache as news is labelled politics"" Is the answer to FB censorship &amp; news manipu…",0.0,0.0
16,16,Intern caught on video swearing at Trump works for Sen. Hassan | New Hampshire  https://t.co/U3cfSGwIoU,0.13636363636363635,0.45454545454545453
17,17,RT @furukawa1917: 日本の少子化はもう「このままでは国が立ち行かなくなります子供を産んでいただくためなら金銭的にも社会的にも援助できることはすべてしますこの通りですお願いいたします」と政府が女性に土下座すべき段階だと思うが、まだずいぶん悠長なことをいってるんです…,0.0,0.0
18,18,"RT @TheKouk: The business acumen &amp; success of Mr Turnbull is truely admirable. Good on him! He has personal wealth of $250 - $300 million,…",0.38125,0.3875
19,19,"RT @Cernovich: ""A pro-life activist in Chicago got word from a security guard that this abortion clinic was throwing the babies’ bodies int…",0.0,0.0
20,20,RT @RVAwonk: Trump isn't listening to Mattis anymore. This is hugely significant. https://t.co/Fk4fDj6Twy,0.375,0.875
21,21,"RT @tnwandia: #NotTheCost: Violence Against Women in Politics
https://t.co/IpW9eTzeO4 via @iHub",0.0,0.0
22,22,"RT @kotamama318: トランプ大統領就任式の写真ーこれが真実！
なんだ、いっぱいじゃん。
オバマさんの時より多いかも。

CNN photo during President Trump's #inauguration speech #gigapixel
https…",0.0,0.0
23,23,"RT @NightSKY4409: Did she happen to work for ⁦@KamalaHarris⁩ ⁦@SenKamalaHarris⁩ at any point. Seems like she’s her role model! 

New York T…",0.13636363636363635,0.45454545454545453
24,24,"RT @Babygiwa: If you see pictures of dead women, men and children and the first instinct is to defend a government or twist the narratives…",0.024999999999999994,0.3666666666666667
25,25,"RT @litterednation: CAUSE: I was raised by parents who taught me nothing about politics. 

EFFECT: My 9 year old daughter knows more about…",0.3,0.35
26,26,RT @MasashiKikuchi: 勝手なことを考えてるんじゃなくて、経済成長の末に長寿化し、少子化になるのは世界中の先進国で見られる現象です。今、人口で日本を抜いたフィリピンは平均年齢が23歳ですが、平均寿命は68歳です。ちなみに二階さんは79歳です。まぁ、そういうことで…,0.0,0.0
27,27,"RT @ztsamudzi: White people hated MLK, the Ohio Nat’l Guard murdered 4 student protestors at Kent State; the entire 1960s was a bloody mess…",-0.42500000000000004,0.55625
28,28,"RT @BahugunaSaket: Is dealing with cases of sexual harassment in this casual manner the model of NSUI's 'empowerment', @guptar ma'am? 

Whe…",-5.551115123125783e-17,0.8500000000000001
29,29,@Ssjadoun7 @gehlot_ratna @ashokgehlot51 Or ha hame na muslimo se nafrat na sikho se nafrat na kisi brahman se nafra… https://t.co/vkrkIyMomm,0.0,0.0
